sample_id,macrocategory,category,type,subtype,fermented/non-fermented,country,cluster_div,unknown_per
AF16,food,fermented_tubers_and_roots,lafun,cassava,F,NGA,818,0.711491443
VB05-27,food,dairy,cheese,ripened_cheese_a_core,F,AUT,1265,0.839525692
VB10-23,food,dairy,cheese,fresh_cheese_a_core,F,AUT,753,0.784860558
PA002_73417,food,dairy,cheese,parmigiano_reggiano,F,ITA,2486,0.851166533
PR012_71775,food,dairy,cheese,pecorino_romano,F,ITA,651,0.783410138
AF87,food,fermented_grains_legumes_and_seeds,ogi,ogi_yellow_maize,F,NGA,915,0.716939891
VB10-21,food,dairy,whey,whey,F,AUT,732,0.631147541
PA011_73417,food,dairy,cheese,parmigiano_reggiano,F,ITA,2211,0.701944821
VB10-27,food,dairy,cheese,ripened_cheese_a_core,F,AUT,747,0.718875502
GR211_71775,food,dairy,cheese,grana_padano,F,ITA,2611,0.8153964
N-21,food,dairy,whey,whey,F,ITA,360,0.683333333
AF53,food,fermented_tubers_and_roots,lafun,cassava,F,NGA,1681,0.769779893
AF88,food,fermented_grains_legumes_and_seeds,ogi,ogi_baba_sorghum,F,NGA,1719,0.79930192
VB02-23,food,dairy,cheese,fresh_cheese_a_core,F,AUT,708,0.725988701
AF69,food,fermented_tubers_and_roots,gari,cassava,F,NGA,904,0.764380531
AF70,food,fermented_tubers_and_roots,lafun,cassava,F,NGA,1927,0.745718734
PA004_73417,food,dairy,cheese,parmigiano_reggiano,F,ITA,2455,0.714052953
PR202_71775,food,dairy,cheese,pecorino_romano,F,ITA,893,0.647256439
VB11-21,food,dairy,whey,whey,F,AUT,712,0.650280899
PR011_71775,food,dairy,cheese,pecorino_romano,F,ITA,362,0.693370166
AF94,food,fermented_grains_legumes_and_seeds,kunu,millet,F,NGA,935,0.677005348
VB05-28,food,dairy,cheese,ripened_cheese_b_core,F,AUT,1421,0.826882477
DF_73,food,dairy,cheese,provolone_valpadana,F,ITA,1164,0.739690722
VB10-28,food,dairy,cheese,ripened_cheese_b_core,F,AUT,594,0.723905724
MO011_71775,food,dairy,cheese,montasio,F,ITA,1244,0.805466238
MZ011_71775,food,dairy,cheese,mozzarella_di_bufala_campana,F,ITA,811,0.739827374
AF65,food,dairy,wara,soft_cheese_cow_milk,F,NGA,1141,0.701139351
F-27.0,food,dairy,cheese,mozzarella,F,ITA,157,0.649681529
SRS3591582,food,dairy,cheese,parmigiano_reggiano,F,ITA,2700,0.77
VB08-23,food,dairy,cheese,fresh_cheese_a_core,F,AUT,674,0.738872404
VB15-28,food,dairy,cheese,ripened_cheese_b_core,F,AUT,1209,0.687344913
SRS6525474,food,dairy,yogurt,,F,ITA,571,0.616462347
VB11-27,food,dairy,cheese,ripened_cheese_a_core,F,AUT,670,0.725373134
VB06-24,food,dairy,cheese,fresh_cheese_b_core,F,AUT,177,0.644067797
VB15-26,food,dairy,cheese,fresh_cheese_b_rind,F,AUT,782,0.780051151
AF51,food,fermented_tubers_and_roots,fufu,cassava,F,NGA,1577,0.800253646
I-21,food,dairy,whey,whey,F,ITA,243,0.650205761
AF22,food,dairy,nono,milk,F,NGA,1018,0.720039293
ERS654090,food,dairy,cheese,continental-type_cheese,F,IRL,1339,0.792382375
DF_52,food,dairy,cheese,taleggio,F,ITA,2199,0.933606185
VB11-25,food,dairy,cheese,fresh_cheese_a_rind,F,AUT,1329,0.69751693
B-28.0,food,dairy,cheese,mozzarella,F,ITA,190,0.631578947
AF04,food,fermented_tubers_and_roots,fufu,cassava,F,NGA,1082,0.70702403
AF18,food,fermented_grains_legumes_and_seeds,otika,millet,F,NGA,964,0.725103734
VB07-26,food,dairy,cheese,fresh_cheese_b_rind,F,AUT,667,0.668665667
VB11-28,food,dairy,cheese,ripened_cheese_b_core,F,AUT,609,0.709359606
VB15-25,food,dairy,cheese,fresh_cheese_a_rind,F,AUT,2097,0.713400095
I-23,food,dairy,cheese,cheese_core_1_t0,F,ITA,1131,0.603006189
VB11-24,food,dairy,cheese,fresh_cheese_b_core,F,AUT,551,0.729582577
VB10-24,food,dairy,cheese,fresh_cheese_b_core,F,AUT,801,0.754057428
P-27.0,food,dairy,cheese,mozzarella,F,ITA,668,0.730538922
VB07-23,food,dairy,cheese,fresh_cheese_a_core,F,AUT,218,0.642201835
I-24.1,food,dairy,cheese,cheese_core_2_t90,F,ITA,744,0.73655914
VB15-23,food,dairy,cheese,fresh_cheese_a_core,F,AUT,581,0.717728055
I-23.1,food,dairy,cheese,cheese_core_1_t90,F,ITA,548,0.629562044
ERS2955443,food,dairy,yogurt,ovine_pastorized-milk_yogurt,F,IRL,522,0.588122605
WK018T-1-L-02h-05D9_S88,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,GBR,927,0.77562028
WK021-1-L-48h-02F1_S106,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,DEU,1872,0.836538462
WK043-2-L-08h-03G6_S79,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,FRA,1762,0.801362089
WK051-1-L-08h-04D4_S2,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,FRA,2382,0.894206549
WK001-2-L-48h-01F4_S28,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,IRL,3423,0.914402571
WK021-2-L-48h-02F3_S108,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,DEU,2259,0.860557769
WK033-2-L-48h-03C3_S40,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,ITA,4736,0.884079392
WK055-2-L-48h-04F5_S21,food,fermented_beverages,water_kefir,water_kefir_figs_dried_liquid,F,AUT,2010,0.902487562
WK017-2-L-08h-02D4_S91,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,GBR,2918,0.845442084
WK020-2-G-48h-01E5_S20,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_grain,F,GBR,2913,0.859594919
WK034-2-L-08h-03C6_S43,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,CAN,3033,0.866798549
WK041-1-L-48h-03F6_S70,food,fermented_beverages,water_kefir,water_kefir_figs_dried_liquid,F,SGP,2400,0.855833333
WK048-1-L-08h-03I6_S97,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,FRA,4195,0.71942789
WK004-1-L-08h-01G4_S37,food,fermented_beverages,water_kefir,water_kefir_figs_dried_liquid,F,DEU,2323,0.896685321
WK010-1-L-48h-02A2_S62,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,ITA,3144,0.856234097
WK018T-1-L-16h-05F3_S100,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,GBR,2224,0.852068345
WK001T-2-L-48h-05G1_S107,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,IRL,3150,0.90952381
WK020-2-L-48h-02E8_S104,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,GBR,2923,0.839548409
WK018T-2-L-02h-05E1_S89,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,GBR,1064,0.768796992
WK047-2-L-48h-03I5_S96,food,fermented_beverages,water_kefir,water_kefir_figs_dried_liquid,F,AUS,2980,0.890604027
WK018-2-L-08h-02D8_S95,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,GBR,2856,0.842436975
SRS5653199,food,fermented_grains_legumes_and_seeds,sourdough,sourdough_starter,F,USA,1279,0.800625489
