sample_id,category,cluster_div,unknown_per,mag_div
WK020-2-G-48h-01E5_S20,fermented_beverages,2913,0.860968074,6
WK034-2-L-08h-03C6_S43,fermented_beverages,3033,0.933069568,6
WK041-1-L-48h-03F6_S70,fermented_beverages,2400,0.858333333,5
WK048-1-L-08h-03I6_S97,fermented_beverages,4195,0.804290822,7
WK004-1-L-08h-01G4_S37,fermented_beverages,2323,0.935858803,4
WK010-1-L-48h-02A2_S62,fermented_beverages,3144,0.881997455,6
WK018T-1-L-16h-05F3_S100,fermented_beverages,2224,0.891636691,4
WK001T-2-L-48h-05G1_S107,fermented_beverages,3150,1.022539683,6
WK020-2-L-48h-02E8_S104,fermented_beverages,2923,0.852548751,6
WK018T-2-L-02h-05E1_S89,fermented_beverages,1064,0.768796992,2
WK047-2-L-48h-03I5_S96,fermented_beverages,2980,0.922483221,5
WK018-2-L-08h-02D8_S95,fermented_beverages,2856,0.845238095,5
SRS5653199,fermented_grains_legumes_and_seeds,1279,0.807662236,3
WK010-2-G-48h-01D4_S10,fermented_beverages,3015,0.967495854,6
WK011-2-L-08h-02A7_S67,fermented_beverages,2639,0.89010989,5
WK043-1-L-08h-03G4_S77,fermented_beverages,1856,0.807650862,3
WK050-1-L-48h-04C8_S126,fermented_beverages,3802,1.161493951,8
WK013-1-L-48h-02B5_S74,fermented_beverages,2160,0.824537037,4
WK053-2-L-08h-04E5_S12,fermented_beverages,1938,0.879256966,4
WK037-2-L-08h-03D9_S55,fermented_beverages,2270,0.939207048,4
WK043-2-G-48h-04C1_S119,fermented_beverages,2428,1.084843493,6
VB10-26,dairy,622,0.789389068,1
WK018-2-L-48h-02D9_S96,fermented_beverages,3452,0.865295481,6
WK018T-1-L-48h-05G2_S108,fermented_beverages,1145,0.768558952,2
WK017-2-L-48h-02D5_S92,fermented_beverages,3723,0.941176471,8
WK018-1-L-08h-02D6_S93,fermented_beverages,3662,0.93883124,7
WK029-2-L-48h-03A5_S24,fermented_beverages,1904,0.890231092,4
WK051-2-L-48h-04D7_S5,fermented_beverages,3763,0.977145894,7
WK009-1-L-08h-01I6_S57,fermented_beverages,2999,0.956318773,6
WK054-1-L-48h-04E8_S15,fermented_beverages,4439,0.937148006,9
ERS1807708,fermented_beverages,1985,0.874559194,4
WK010-2-L-48h-02A4_S64,fermented_beverages,4083,0.87435709,7
WK064-1-L-08h-05A2_S54,fermented_beverages,3190,0.934169279,7
T-30,dairy,963,0.700934579,2
WK014-2-G-48h-01D8_S14,fermented_beverages,2275,0.830769231,4
DF_42,dairy,2543,0.731026347,7
P2639,dairy,2563,0.90714007,3
WK004-2-G-48h-01C7_S4,fermented_beverages,2371,1,5
WK013-2-L-48h-02B7_S76,fermented_beverages,2319,0.875377318,4
WK017-1-L-48h-02D3_S90,fermented_beverages,3080,0.901948052,6
WK021-1-L-08h-02E9_S105,fermented_beverages,2352,0.901360544,4
WK064-2-G-48h-05H7_S122,fermented_beverages,2523,0.93737614,5
WK012-2-G-48h-01D6_S12,fermented_beverages,1795,0.771587744,4
WK018T-2-L-48h-05G3_S109,fermented_beverages,1092,0.76007326,2
WK041-2-L-48h-03F8_S72,fermented_beverages,2011,0.840377921,4
WK053-2-L-48h-04E6_S13,fermented_beverages,3089,0.894464228,5
SRS5653132,fermented_grains_legumes_and_seeds,2129,0.877876938,4
SP009_71775,fermented_meat,5842,0.849024307,9
WK034-2-L-48h-03C7_S44,fermented_beverages,3002,0.836442372,5
